YearMonth,Year,Month,Bidding,Bid_Type,Category,quantity
2002 Feb,2002,Feb,2nd,PQP,Cars <=1600cc,29446
2002 Feb,2002,Feb,2nd,PQP,Cars >1600cc,31165
2002 Feb,2002,Feb,2nd,PQP,Goods Vehicles and Buses,23950
2002 Feb,2002,Feb,2nd,PQP,Motorcycles,608
2002 Mar,2002,Mar,1st,Quota,Total,3955
2002 Mar,2002,Mar,1st,Quota,Cars <=1600cc,1491
2002 Mar,2002,Mar,1st,Quota,Cars >1600cc,649
2002 Mar,2002,Mar,1st,Quota,Goods Vehicles and Buses,399
2002 Mar,2002,Mar,1st,Quota,Motorcycles,611
2002 Mar,2002,Mar,1st,Quota,Open,805
2002 Mar,2002,Mar,1st,Successful,Total,3943
2002 Mar,2002,Mar,1st,Successful,Cars <=1600cc,1491
2002 Mar,2002,Mar,1st,Successful,Cars >1600cc,644
2002 Mar,2002,Mar,1st,Successful,Goods Vehicles and Buses,399
2002 Mar,2002,Mar,1st,Successful,Motorcycles,604
2002 Mar,2002,Mar,1st,Successful,Open,805
2002 Mar,2002,Mar,1st,Received,Total,11040
2002 Mar,2002,Mar,1st,Received,Cars <=1600cc,4267
2002 Mar,2002,Mar,1st,Received,Cars >1600cc,2229
2002 Mar,2002,Mar,1st,Received,Goods Vehicles and Buses,1233
2002 Mar,2002,Mar,1st,Received,Motorcycles,1056
2002 Mar,2002,Mar,1st,Received,Open,2255
2002 Mar,2002,Mar,1st,Dollar Amount,Cars <=1600cc,31484
2002 Mar,2002,Mar,1st,Dollar Amount,Cars >1600cc,32574
2002 Mar,2002,Mar,1st,Dollar Amount,Goods Vehicles and Buses,23702
2002 Mar,2002,Mar,1st,Dollar Amount,Motorcycles,633
2002 Mar,2002,Mar,1st,Dollar Amount,Open,31438
2002 Mar,2002,Mar,2nd,Quota,Total,3958
2002 Mar,2002,Mar,2nd,Quota,Cars <=1600cc,1468
2002 Mar,2002,Mar,2nd,Quota,Cars >1600cc,651
2002 Mar,2002,Mar,2nd,Quota,Goods Vehicles and Buses,394
2002 Mar,2002,Mar,2nd,Quota,Motorcycles,628
2002 Mar,2002,Mar,2nd,Quota,Open,817
2002 Mar,2002,Mar,2nd,Successful,Total,3839
2002 Mar,2002,Mar,2nd,Successful,Cars <=1600cc,1429
2002 Mar,2002,Mar,2nd,Successful,Cars >1600cc,650
2002 Mar,2002,Mar,2nd,Successful,Goods Vehicles and Buses,394
2002 Mar,2002,Mar,2nd,Successful,Motorcycles,622
2002 Mar,2002,Mar,2nd,Successful,Open,744
2002 Mar,2002,Mar,2nd,Received,Total,7266
2002 Mar,2002,Mar,2nd,Received,Cars <=1600cc,2800
2002 Mar,2002,Mar,2nd,Received,Cars >1600cc,1052
2002 Mar,2002,Mar,2nd,Received,Goods Vehicles and Buses,679
2002 Mar,2002,Mar,2nd,Received,Motorcycles,1141
2002 Mar,2002,Mar,2nd,Received,Open,1594
2002 Mar,2002,Mar,2nd,Dollar Amount,Cars <=1600cc,33201
2002 Mar,2002,Mar,2nd,Dollar Amount,Cars >1600cc,34200
2002 Mar,2002,Mar,2nd,Dollar Amount,Goods Vehicles and Buses,23700
2002 Mar,2002,Mar,2nd,Dollar Amount,Motorcycles,709
2002 Mar,2002,Mar,2nd,Dollar Amount,Open,34501
2002 Mar,2002,Mar,2nd,PQP,Cars <=1600cc,30559
2002 Mar,2002,Mar,2nd,PQP,Cars >1600cc,31785
2002 Mar,2002,Mar,2nd,PQP,Goods Vehicles and Buses,23933
2002 Mar,2002,Mar,2nd,PQP,Motorcycles,631
2002 Apr,2002,Apr,1st,Quota,Total,3695
2002 Apr,2002,Apr,1st,Quota,Cars <=1600cc,1110
2002 Apr,2002,Apr,1st,Quota,Cars >1600cc,558
2002 Apr,2002,Apr,1st,Quota,Goods Vehicles and Buses,506
2002 Apr,2002,Apr,1st,Quota,Motorcycles,839
2002 Apr,2002,Apr,1st,Quota,Open,682
2002 Apr,2002,Apr,1st,Successful,Total,3615
2002 Apr,2002,Apr,1st,Successful,Cars <=1600cc,1092
2002 Apr,2002,Apr,1st,Successful,Cars >1600cc,551
2002 Apr,2002,Apr,1st,Successful,Goods Vehicles and Buses,506
2002 Apr,2002,Apr,1st,Successful,Motorcycles,835
2002 Apr,2002,Apr,1st,Successful,Open,631
2002 Apr,2002,Apr,1st,Received,Total,7514
2002 Apr,2002,Apr,1st,Received,Cars <=1600cc,2484
2002 Apr,2002,Apr,1st,Received,Cars >1600cc,1119
2002 Apr,2002,Apr,1st,Received,Goods Vehicles and Buses,795
2002 Apr,2002,Apr,1st,Received,Motorcycles,1319
2002 Apr,2002,Apr,1st,Received,Open,1797
2002 Apr,2002,Apr,1st,Dollar Amount,Cars <=1600cc,37201
2002 Apr,2002,Apr,1st,Dollar Amount,Cars >1600cc,39509
2002 Apr,2002,Apr,1st,Dollar Amount,Goods Vehicles and Buses,23001
2002 Apr,2002,Apr,1st,Dollar Amount,Motorcycles,540
2002 Apr,2002,Apr,1st,Dollar Amount,Open,41001
2002 Apr,2002,Apr,2nd,Quota,Total,3800
2002 Apr,2002,Apr,2nd,Quota,Cars <=1600cc,1149
2002 Apr,2002,Apr,2nd,Quota,Cars >1600cc,553
2002 Apr,2002,Apr,2nd,Quota,Goods Vehicles and Buses,506
2002 Apr,2002,Apr,2nd,Quota,Motorcycles,838
2002 Apr,2002,Apr,2nd,Quota,Open,754
2002 Apr,2002,Apr,2nd,Successful,Total,3781
2002 Apr,2002,Apr,2nd,Successful,Cars <=1600cc,1148
2002 Apr,2002,Apr,2nd,Successful,Cars >1600cc,553
2002 Apr,2002,Apr,2nd,Successful,Goods Vehicles and Buses,490
2002 Apr,2002,Apr,2nd,Successful,Motorcycles,837
2002 Apr,2002,Apr,2nd,Successful,Open,753
2002 Apr,2002,Apr,2nd,Received,Total,6298
2002 Apr,2002,Apr,2nd,Received,Cars <=1600cc,1890
2002 Apr,2002,Apr,2nd,Received,Cars >1600cc,1104
2002 Apr,2002,Apr,2nd,Received,Goods Vehicles and Buses,813
2002 Apr,2002,Apr,2nd,Received,Motorcycles,1084
2002 Apr,2002,Apr,2nd,Received,Open,1407
2002 Apr,2002,Apr,2nd,Dollar Amount,Cars <=1600cc,36000
2002 Apr,2002,Apr,2nd,Dollar Amount,Cars >1600cc,42101
2002 Apr,2002,Apr,2nd,Dollar Amount,Goods Vehicles and Buses,24001
2002 Apr,2002,Apr,2nd,Dollar Amount,Motorcycles,409
2002 Apr,2002,Apr,2nd,Dollar Amount,Open,42043
2002 Apr,2002,Apr,2nd,PQP,Cars <=1600cc,32981
2002 Apr,2002,Apr,2nd,PQP,Cars >1600cc,34889
2002 Apr,2002,Apr,2nd,PQP,Goods Vehicles and Buses,23599
2002 Apr,2002,Apr,2nd,PQP,Motorcycles,580
2002 May,2002,May,1st,Quota,Total,3990
2002 May,2002,May,1st,Quota,Cars <=1600cc,1128
2002 May,2002,May,1st,Quota,Cars >1600cc,560
2002 May,2002,May,1st,Quota,Goods Vehicles and Buses,506
2002 May,2002,May,1st,Quota,Motorcycles,836
2002 May,2002,May,1st,Quota,Open,960
2002 May,2002,May,1st,Successful,Total,3840
2002 May,2002,May,1st,Successful,Cars <=1600cc,1127
2002 May,2002,May,1st,Successful,Cars >1600cc,518
2002 May,2002,May,1st,Successful,Goods Vehicles and Buses,472
2002 May,2002,May,1st,Successful,Motorcycles,793
2002 May,2002,May,1st,Successful,Open,930
2002 May,2002,May,1st,Received,Total,6504
2002 May,2002,May,1st,Received,Cars <=1600cc,1705
2002 May,2002,May,1st,Received,Cars >1600cc,1043
2002 May,2002,May,1st,Received,Goods Vehicles and Buses,900
2002 May,2002,May,1st,Received,Motorcycles,976
2002 May,2002,May,1st,Received,Open,1880
2002 May,2002,May,1st,Dollar Amount,Cars <=1600cc,35000
2002 May,2002,May,1st,Dollar Amount,Cars >1600cc,40001
2002 May,2002,May,1st,Dollar Amount,Goods Vehicles and Buses,24801
2002 May,2002,May,1st,Dollar Amount,Motorcycles,402
2002 May,2002,May,1st,Dollar Amount,Open,40001
2002 May,2002,May,2nd,Quota,Total,3928
2002 May,2002,May,2nd,Quota,Cars <=1600cc,1111
2002 May,2002,May,2nd,Quota,Cars >1600cc,552
2002 May,2002,May,2nd,Quota,Goods Vehicles and Buses,522
2002 May,2002,May,2nd,Quota,Motorcycles,833
2002 May,2002,May,2nd,Quota,Open,910
2002 May,2002,May,2nd,Successful,Total,3837
2002 May,2002,May,2nd,Successful,Cars <=1600cc,1080
2002 May,2002,May,2nd,Successful,Cars >1600cc,541
2002 May,2002,May,2nd,Successful,Goods Vehicles and Buses,508
2002 May,2002,May,2nd,Successful,Motorcycles,831
2002 May,2002,May,2nd,Successful,Open,877
2002 May,2002,May,2nd,Received,Total,5908
2002 May,2002,May,2nd,Received,Cars <=1600cc,1320
2002 May,2002,May,2nd,Received,Cars >1600cc,894
2002 May,2002,May,2nd,Received,Goods Vehicles and Buses,815
2002 May,2002,May,2nd,Received,Motorcycles,1044
2002 May,2002,May,2nd,Received,Open,1835
2002 May,2002,May,2nd,Dollar Amount,Cars <=1600cc,33401
2002 May,2002,May,2nd,Dollar Amount,Cars >1600cc,38001
2002 May,2002,May,2nd,Dollar Amount,Goods Vehicles and Buses,24002
2002 May,2002,May,2nd,Dollar Amount,Motorcycles,283
2002 May,2002,May,2nd,Dollar Amount,Open,38399
2002 May,2002,May,2nd,PQP,Cars <=1600cc,34382
2002 May,2002,May,2nd,PQP,Cars >1600cc,37731
2002 May,2002,May,2nd,PQP,Goods Vehicles and Buses,23868
2002 May,2002,May,2nd,PQP,Motorcycles,496
2002 Jun,2002,Jun,1st,Quota,Total,4060
2002 Jun,2002,Jun,1st,Quota,Cars <=1600cc,1111
2002 Jun,2002,Jun,1st,Quota,Cars >1600cc,595
2002 Jun,2002,Jun,1st,Quota,Goods Vehicles and Buses,540
2002 Jun,2002,Jun,1st,Quota,Motorcycles,875
2002 Jun,2002,Jun,1st,Quota,Open,939
2002 Jun,2002,Jun,1st,Successful,Total,4018
2002 Jun,2002,Jun,1st,Successful,Cars <=1600cc,1105
2002 Jun,2002,Jun,1st,Successful,Cars >1600cc,569
2002 Jun,2002,Jun,1st,Successful,Goods Vehicles and Buses,540
2002 Jun,2002,Jun,1st,Successful,Motorcycles,866
2002 Jun,2002,Jun,1st,Successful,Open,938
2002 Jun,2002,Jun,1st,Received,Total,5854
2002 Jun,2002,Jun,1st,Received,Cars <=1600cc,1382
2002 Jun,2002,Jun,1st,Received,Cars >1600cc,885
2002 Jun,2002,Jun,1st,Received,Goods Vehicles and Buses,800
2002 Jun,2002,Jun,1st,Received,Motorcycles,1010
2002 Jun,2002,Jun,1st,Received,Open,1777
2002 Jun,2002,Jun,1st,Dollar Amount,Cars <=1600cc,33009
2002 Jun,2002,Jun,1st,Dollar Amount,Cars >1600cc,33001
2002 Jun,2002,Jun,1st,Dollar Amount,Goods Vehicles and Buses,22804
2002 Jun,2002,Jun,1st,Dollar Amount,Motorcycles,109
2002 Jun,2002,Jun,1st,Dollar Amount,Open,34397
2002 Jun,2002,Jun,2nd,Quota,Total,3999
2002 Jun,2002,Jun,2nd,Quota,Cars <=1600cc,1141
2002 Jun,2002,Jun,2nd,Quota,Cars >1600cc,563
2002 Jun,2002,Jun,2nd,Quota,Goods Vehicles and Buses,519
2002 Jun,2002,Jun,2nd,Quota,Motorcycles,834
2002 Jun,2002,Jun,2nd,Quota,Open,942
2002 Jun,2002,Jun,2nd,Successful,Total,3979
2002 Jun,2002,Jun,2nd,Successful,Cars <=1600cc,1133
2002 Jun,2002,Jun,2nd,Successful,Cars >1600cc,554
2002 Jun,2002,Jun,2nd,Successful,Goods Vehicles and Buses,519
2002 Jun,2002,Jun,2nd,Successful,Motorcycles,833
2002 Jun,2002,Jun,2nd,Successful,Open,940
2002 Jun,2002,Jun,2nd,Received,Total,5817
2002 Jun,2002,Jun,2nd,Received,Cars <=1600cc,1382
2002 Jun,2002,Jun,2nd,Received,Cars >1600cc,888
2002 Jun,2002,Jun,2nd,Received,Goods Vehicles and Buses,727
2002 Jun,2002,Jun,2nd,Received,Motorcycles,995
2002 Jun,2002,Jun,2nd,Received,Open,1825
2002 Jun,2002,Jun,2nd,Dollar Amount,Cars <=1600cc,30281
2002 Jun,2002,Jun,2nd,Dollar Amount,Cars >1600cc,32499
2002 Jun,2002,Jun,2nd,Dollar Amount,Goods Vehicles and Buses,20434
2002 Jun,2002,Jun,2nd,Dollar Amount,Motorcycles,96
2002 Jun,2002,Jun,2nd,Dollar Amount,Open,32511
2002 Jun,2002,Jun,2nd,PQP,Cars <=1600cc,34149
2002 Jun,2002,Jun,2nd,PQP,Cars >1600cc,37519
2002 Jun,2002,Jun,2nd,PQP,Goods Vehicles and Buses,23174
2002 Jun,2002,Jun,2nd,PQP,Motorcycles,307
2002 Jul,2002,Jul,1st,Quota,Total,3952
2002 Jul,2002,Jul,1st,Quota,Cars <=1600cc,1116
2002 Jul,2002,Jul,1st,Quota,Cars >1600cc,579
2002 Jul,2002,Jul,1st,Quota,Goods Vehicles and Buses,506
2002 Jul,2002,Jul,1st,Quota,Motorcycles,841
2002 Jul,2002,Jul,1st,Quota,Open,910
2002 Jul,2002,Jul,1st,Successful,Total,3927
2002 Jul,2002,Jul,1st,Successful,Cars <=1600cc,1108
2002 Jul,2002,Jul,1st,Successful,Cars >1600cc,577
2002 Jul,2002,Jul,1st,Successful,Goods Vehicles and Buses,504
2002 Jul,2002,Jul,1st,Successful,Motorcycles,835
2002 Jul,2002,Jul,1st,Successful,Open,903
2002 Jul,2002,Jul,1st,Received,Total,6169
2002 Jul,2002,Jul,1st,Received,Cars <=1600cc,1890
2002 Jul,2002,Jul,1st,Received,Cars >1600cc,946
2002 Jul,2002,Jul,1st,Received,Goods Vehicles and Buses,749
2002 Jul,2002,Jul,1st,Received,Motorcycles,1035
2002 Jul,2002,Jul,1st,Received,Open,1549
2002 Jul,2002,Jul,1st,Dollar Amount,Cars <=1600cc,31407
2002 Jul,2002,Jul,1st,Dollar Amount,Cars >1600cc,31583
2002 Jul,2002,Jul,1st,Dollar Amount,Goods Vehicles and Buses,17501
2002 Jul,2002,Jul,1st,Dollar Amount,Motorcycles,57
2002 Jul,2002,Jul,1st,Dollar Amount,Open,32356
2002 Jul,2002,Jul,2nd,Quota,Total,3927
2002 Jul,2002,Jul,2nd,Quota,Cars <=1600cc,1118
2002 Jul,2002,Jul,2nd,Quota,Cars >1600cc,561
2002 Jul,2002,Jul,2nd,Quota,Goods Vehicles and Buses,505
2002 Jul,2002,Jul,2nd,Quota,Motorcycles,833
2002 Jul,2002,Jul,2nd,Quota,Open,910
2002 Jul,2002,Jul,2nd,Successful,Total,3898
2002 Jul,2002,Jul,2nd,Successful,Cars <=1600cc,1118
2002 Jul,2002,Jul,2nd,Successful,Cars >1600cc,553
2002 Jul,2002,Jul,2nd,Successful,Goods Vehicles and Buses,501
2002 Jul,2002,Jul,2nd,Successful,Motorcycles,822
2002 Jul,2002,Jul,2nd,Successful,Open,904
2002 Jul,2002,Jul,2nd,Received,Total,5480
2002 Jul,2002,Jul,2nd,Received,Cars <=1600cc,1647
2002 Jul,2002,Jul,2nd,Received,Cars >1600cc,850
2002 Jul,2002,Jul,2nd,Received,Goods Vehicles and Buses,682
2002 Jul,2002,Jul,2nd,Received,Motorcycles,1059
2002 Jul,2002,Jul,2nd,Received,Open,1242
2002 Jul,2002,Jul,2nd,Dollar Amount,Cars <=1600cc,30797
2002 Jul,2002,Jul,2nd,Dollar Amount,Cars >1600cc,30008
2002 Jul,2002,Jul,2nd,Dollar Amount,Goods Vehicles and Buses,16889
2002 Jul,2002,Jul,2nd,Dollar Amount,Motorcycles,101
2002 Jul,2002,Jul,2nd,Dollar Amount,Open,30501
2002 Jul,2002,Jul,2nd,PQP,Cars <=1600cc,32316
2002 Jul,2002,Jul,2nd,PQP,Cars >1600cc,34183
2002 Jul,2002,Jul,2nd,PQP,Goods Vehicles and Buses,21072
2002 Jul,2002,Jul,2nd,PQP,Motorcycles,175
2002 Aug,2002,Aug,1st,Quota,Total,3935
2002 Aug,2002,Aug,1st,Quota,Cars <=1600cc,1118
2002 Aug,2002,Aug,1st,Quota,Cars >1600cc,555
2002 Aug,2002,Aug,1st,Quota,Goods Vehicles and Buses,508
2002 Aug,2002,Aug,1st,Quota,Motorcycles,838
2002 Aug,2002,Aug,1st,Quota,Open,916
2002 Aug,2002,Aug,1st,Successful,Total,3909
2002 Aug,2002,Aug,1st,Successful,Cars <=1600cc,1115
2002 Aug,2002,Aug,1st,Successful,Cars >1600cc,555
2002 Aug,2002,Aug,1st,Successful,Goods Vehicles and Buses,504
2002 Aug,2002,Aug,1st,Successful,Motorcycles,836
2002 Aug,2002,Aug,1st,Successful,Open,899
2002 Aug,2002,Aug,1st,Received,Total,5798
2002 Aug,2002,Aug,1st,Received,Cars <=1600cc,1640
2002 Aug,2002,Aug,1st,Received,Cars >1600cc,1149
2002 Aug,2002,Aug,1st,Received,Goods Vehicles and Buses,719
2002 Aug,2002,Aug,1st,Received,Motorcycles,920
2002 Aug,2002,Aug,1st,Received,Open,1370
2002 Aug,2002,Aug,1st,Dollar Amount,Cars <=1600cc,30289
2002 Aug,2002,Aug,1st,Dollar Amount,Cars >1600cc,31889
2002 Aug,2002,Aug,1st,Dollar Amount,Goods Vehicles and Buses,16501
2002 Aug,2002,Aug,1st,Dollar Amount,Motorcycles,116
2002 Aug,2002,Aug,1st,Dollar Amount,Open,31899
2002 Aug,2002,Aug,2nd,Quota,Total,3936
2002 Aug,2002,Aug,2nd,Quota,Cars <=1600cc,1110
2002 Aug,2002,Aug,2nd,Quota,Cars >1600cc,560
2002 Aug,2002,Aug,2nd,Quota,Goods Vehicles and Buses,509
2002 Aug,2002,Aug,2nd,Quota,Motorcycles,843
2002 Aug,2002,Aug,2nd,Quota,Open,914
2002 Aug,2002,Aug,2nd,Successful,Total,3875
2002 Aug,2002,Aug,2nd,Successful,Cars <=1600cc,1100
2002 Aug,2002,Aug,2nd,Successful,Cars >1600cc,543
2002 Aug,2002,Aug,2nd,Successful,Goods Vehicles and Buses,509
2002 Aug,2002,Aug,2nd,Successful,Motorcycles,837
2002 Aug,2002,Aug,2nd,Successful,Open,886
2002 Aug,2002,Aug,2nd,Received,Total,5359
2002 Aug,2002,Aug,2nd,Received,Cars <=1600cc,1480
2002 Aug,2002,Aug,2nd,Received,Cars >1600cc,873
2002 Aug,2002,Aug,2nd,Received,Goods Vehicles and Buses,702
2002 Aug,2002,Aug,2nd,Received,Motorcycles,918
2002 Aug,2002,Aug,2nd,Received,Open,1386
2002 Aug,2002,Aug,2nd,Dollar Amount,Cars <=1600cc,31289
2002 Aug,2002,Aug,2nd,Dollar Amount,Cars >1600cc,32001
2002 Aug,2002,Aug,2nd,Dollar Amount,Goods Vehicles and Buses,16409
2002 Aug,2002,Aug,2nd,Dollar Amount,Motorcycles,81
2002 Aug,2002,Aug,2nd,Dollar Amount,Open,32001
2002 Aug,2002,Aug,2nd,PQP,Cars <=1600cc,31179
2002 Aug,2002,Aug,2nd,PQP,Cars >1600cc,31831
2002 Aug,2002,Aug,2nd,PQP,Goods Vehicles and Buses,18423
2002 Aug,2002,Aug,2nd,PQP,Motorcycles,94
2002 Sep,2002,Sep,1st,Quota,Total,3936
2002 Sep,2002,Sep,1st,Quota,Cars <=1600cc,1113
2002 Sep,2002,Sep,1st,Quota,Cars >1600cc,553
2002 Sep,2002,Sep,1st,Quota,Goods Vehicles and Buses,510
2002 Sep,2002,Sep,1st,Quota,Motorcycles,834
2002 Sep,2002,Sep,1st,Quota,Open,926
2002 Sep,2002,Sep,1st,Successful,Total,3914
2002 Sep,2002,Sep,1st,Successful,Cars <=1600cc,1108
2002 Sep,2002,Sep,1st,Successful,Cars >1600cc,553
2002 Sep,2002,Sep,1st,Successful,Goods Vehicles and Buses,508
2002 Sep,2002,Sep,1st,Successful,Motorcycles,827
2002 Sep,2002,Sep,1st,Successful,Open,918
2002 Sep,2002,Sep,1st,Received,Total,5040
2002 Sep,2002,Sep,1st,Received,Cars <=1600cc,1337
2002 Sep,2002,Sep,1st,Received,Cars >1600cc,715
2002 Sep,2002,Sep,1st,Received,Goods Vehicles and Buses,671
2002 Sep,2002,Sep,1st,Received,Motorcycles,996
2002 Sep,2002,Sep,1st,Received,Open,1321
2002 Sep,2002,Sep,1st,Dollar Amount,Cars <=1600cc,30501
2002 Sep,2002,Sep,1st,Dollar Amount,Cars >1600cc,31617
2002 Sep,2002,Sep,1st,Dollar Amount,Goods Vehicles and Buses,16403
2002 Sep,2002,Sep,1st,Dollar Amount,Motorcycles,52
2002 Sep,2002,Sep,1st,Dollar Amount,Open,31493
2002 Sep,2002,Sep,2nd,Quota,Total,3968
2002 Sep,2002,Sep,2nd,Quota,Cars <=1600cc,1120
2002 Sep,2002,Sep,2nd,Quota,Cars >1600cc,569
2002 Sep,2002,Sep,2nd,Quota,Goods Vehicles and Buses,505
2002 Sep,2002,Sep,2nd,Quota,Motorcycles,838
2002 Sep,2002,Sep,2nd,Quota,Open,936
2002 Sep,2002,Sep,2nd,Successful,Total,3946
2002 Sep,2002,Sep,2nd,Successful,Cars <=1600cc,1118
2002 Sep,2002,Sep,2nd,Successful,Cars >1600cc,569
2002 Sep,2002,Sep,2nd,Successful,Goods Vehicles and Buses,487
2002 Sep,2002,Sep,2nd,Successful,Motorcycles,838
2002 Sep,2002,Sep,2nd,Successful,Open,934
2002 Sep,2002,Sep,2nd,Received,Total,4967
2002 Sep,2002,Sep,2nd,Received,Cars <=1600cc,1286
2002 Sep,2002,Sep,2nd,Received,Cars >1600cc,756
2002 Sep,2002,Sep,2nd,Received,Goods Vehicles and Buses,615
2002 Sep,2002,Sep,2nd,Received,Motorcycles,872
2002 Sep,2002,Sep,2nd,Received,Open,1438
2002 Sep,2002,Sep,2nd,Dollar Amount,Cars <=1600cc,28409
2002 Sep,2002,Sep,2nd,Dollar Amount,Cars >1600cc,28009
2002 Sep,2002,Sep,2nd,Dollar Amount,Goods Vehicles and Buses,16409
2002 Sep,2002,Sep,2nd,Dollar Amount,Motorcycles,21
2002 Sep,2002,Sep,2nd,Dollar Amount,Open,29499
2002 Sep,2002,Sep,2nd,PQP,Cars <=1600cc,30449
2002 Sep,2002,Sep,2nd,PQP,Cars >1600cc,30852
2002 Sep,2002,Sep,2nd,PQP,Goods Vehicles and Buses,16686
2002 Sep,2002,Sep,2nd,PQP,Motorcycles,72
2002 Oct,2002,Oct,1st,Quota,Total,3932
2002 Oct,2002,Oct,1st,Quota,Cars <=1600cc,1115
2002 Oct,2002,Oct,1st,Quota,Cars >1600cc,553
2002 Oct,2002,Oct,1st,Quota,Goods Vehicles and Buses,508
2002 Oct,2002,Oct,1st,Quota,Motorcycles,839
2002 Oct,2002,Oct,1st,Quota,Open,917
2002 Oct,2002,Oct,1st,Successful,Total,3804
2002 Oct,2002,Oct,1st,Successful,Cars <=1600cc,1101
2002 Oct,2002,Oct,1st,Successful,Cars >1600cc,553
2002 Oct,2002,Oct,1st,Successful,Goods Vehicles and Buses,508
2002 Oct,2002,Oct,1st,Successful,Motorcycles,731
2002 Oct,2002,Oct,1st,Successful,Open,911
2002 Oct,2002,Oct,1st,Received,Total,6050
2002 Oct,2002,Oct,1st,Received,Cars <=1600cc,1889
2002 Oct,2002,Oct,1st,Received,Cars >1600cc,917
2002 Oct,2002,Oct,1st,Received,Goods Vehicles and Buses,682
2002 Oct,2002,Oct,1st,Received,Motorcycles,1061
2002 Oct,2002,Oct,1st,Received,Open,1501
2002 Oct,2002,Oct,1st,Dollar Amount,Cars <=1600cc,31334
2002 Oct,2002,Oct,1st,Dollar Amount,Cars >1600cc,31795
2002 Oct,2002,Oct,1st,Dollar Amount,Goods Vehicles and Buses,17581
2002 Oct,2002,Oct,1st,Dollar Amount,Motorcycles,36
2002 Oct,2002,Oct,1st,Dollar Amount,Open,30989
2002 Oct,2002,Oct,2nd,Quota,Total,3929
2002 Oct,2002,Oct,2nd,Quota,Cars <=1600cc,1112
2002 Oct,2002,Oct,2nd,Quota,Cars >1600cc,552
2002 Oct,2002,Oct,2nd,Quota,Goods Vehicles and Buses,523
2002 Oct,2002,Oct,2nd,Quota,Motorcycles,832
2002 Oct,2002,Oct,2nd,Quota,Open,910
2002 Oct,2002,Oct,2nd,Successful,Total,3912
2002 Oct,2002,Oct,2nd,Successful,Cars <=1600cc,1110
2002 Oct,2002,Oct,2nd,Successful,Cars >1600cc,551
2002 Oct,2002,Oct,2nd,Successful,Goods Vehicles and Buses,517
2002 Oct,2002,Oct,2nd,Successful,Motorcycles,829
2002 Oct,2002,Oct,2nd,Successful,Open,905
